Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Peugeot,3008,40.98,7.31,114.27,1352.58,petrol,6584,6584,367,10196
Seat,Toledo,20.37,5.64,74.21,1324.36,petrol,7220,7220,447,9917
Audi,A8,116.54,8.0,230.0,2981.0,petrol,8240,8240,524,9478
Peugeot,405,20.43,4.79,69.88,1773.0,petrol,7292,7292,364,9296
Mercedes,190,36.64,4.47,88.73,2284.13,petrol,7102,7102,498,9255
Mercedes,300,62.4,4.38,135.5,2972.31,petrol,7137,7137,495,9196
Jaguar,XKR,171.13,6.0,375.0,5000.0,petrol,7616,7616,426,8963
Citroen,C8,45.59,5.25,104.17,2027.83,petrol,5418,5418,444,8747
Peugeot,807,45.76,5.31,109.08,2053.0,diesel,5450,5450,492,8627
Ford,Maverick,29.15,5.0,89.0,2526.5,petrol,5963,5963,358,8122
Citroen,AX,10.83,5.0,45.0,1242.0,petrol,4230,4230,411,8104
Nissan,Pathfinder,60.96,5.5,146.0,2588.6,diesel,5750,5750,300,8045
Suzuki,Splash,13.15,4.8,55.4,1144.8,petrol,3488,3488,466,7917
Hyundai,Ix35,38.9,5.84,113.84,1926.0,diesel,5023,5023,199,7860
Mazda,Demio,14.78,4.8,51.4,1428.4,petrol,3637,3637,477,7828
Ford,Cougar,32.12,4.67,115.33,2362.0,petrol,5803,5803,374,7817
Hyundai,Trajet,30.35,4.4,99.0,2117.6,petrol,4946,4946,423,7808
Bentley,Continental,285.25,7.2,428.2,5577.8,petrol,6557,6557,372,7787
Mazda,Premacy,23.22,4.91,82.0,1938.0,petrol,4770,4770,424,7733
Audi,S3,60.87,6.75,228.0,1984.0,petrol,6072,6072,295,7628
Skoda,Yeti,30.35,6.3,83.5,1452.3,petrol,5122,5122,293,7586
Chrysler,300C,70.32,4.5,199.0,4123.5,petrol,6356,6356,236,7359
Peugeot,1007,18.66,5.0,59.58,1407.33,petrol,3256,3256,392,7130
Honda,S2000,55.25,6.0,177.0,1997.0,petrol,5213,5213,352,7005
Alfa-Romeo,159,43.26,5.91,135.38,2276.0,diesel,5767,5767,341,7002
Rover,CityRover,11.74,5.0,63.0,1405.0,petrol,2943,2943,506,6973
Nissan,350Z,55.42,6.0,221.0,3498.0,petrol,5855,5855,232,6972
Audi,80,27.1,4.67,91.75,2247.33,petrol,5318,5318,284,6836
Chevrolet,Tacuma,20.2,4.78,82.33,1775.78,petrol,3917,3917,392,6628
Chrysler,Neon,19.72,4.0,98.0,1995.0,petrol,4005,4005,411,6517
Chevrolet,Spark,11.4,5.0,52.5,1047.75,petrol,2625,2625,379,6304
Ford,Sierra,18.3,4.88,70.25,1836.5,petrol,5411,5411,152,6266
Chevrolet,Captiva,55.62,6.0,145.75,2460.75,petrol,3901,3901,302,6263
Alfa-Romeo,GT,37.35,5.38,121.06,1972.81,petrol,4845,4845,313,6194
Toyota,Picnic,25.3,4.5,94.0,1998.0,petrol,4024,4024,461,6184
Jaguar,XK,145.65,6.0,283.0,5000.0,petrol,4976,4976,297,6103
Fiat,Ulysse,36.7,4.88,91.75,2019.75,petrol,4139,4139,326,6098
Porsche,Cayman,84.6,6.5,220.5,3071.0,petrol,4815,4815,291,6085
Rover,Streetwise,20.74,5.0,75.0,1695.0,petrol,3293,3293,294,6065
Lotus,Elise,53.79,6.0,134.33,1730.0,petrol,5175,5175,263,5989
Dodge,Caliber,26.59,4.12,108.62,1911.75,petrol,3712,3712,227,5866
Fiat,Cinquecento,7.71,5.0,29.0,899.0,petrol,2851,2851,298,5785
Kia,Cerato,19.9,4.8,94.0,1742.6,petrol,3437,3437,240,5517
