Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Mercedes,300,62.4,4.38,135.5,2972.31,petrol,23348,23348,1402,30250
Fiat,Bravo,22.46,6.0,92.31,1466.31,petrol,17546,17546,1155,30171
Ford,Puma,30.38,6.31,94.06,935.62,petrol,13794,13794,1449,28857
Volvo,S40,35.28,5.18,113.35,2106.5,petrol,21183,21183,1592,28701
Mitsubishi,Colt,17.04,5.3,73.49,1374.05,petrol,13156,13156,1122,28046
Audi,100,37.33,4.76,101.12,2349.08,petrol,22314,22314,1064,27967
Honda,Prelude,27.79,4.67,110.67,2050.33,petrol,18191,18191,1230,27383
Volkswagen,Jetta,31.31,6.26,96.93,1587.22,petrol,19269,19269,1012,27146
Volvo,V40,35.81,6.29,117.43,1921.47,petrol,18063,18063,1696,26907
Volvo,460,20.5,4.14,72.43,1824.43,petrol,18599,18599,1090,25970
BMW,740i,115.53,8.0,250.0,2998.0,petrol,21860,21860,1030,25469
Ford,Scorpio,30.86,4.45,105.55,2458.91,petrol,20993,20993,750,24677
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,19616,19616,603,23383
Volkswagen,Beetle,33.25,6.17,112.75,1475.0,petrol,12138,12138,1055,22552
Mercedes,A,31.1,4.55,93.01,1699.12,petrol,11417,11417,1204,22429
Volvo,V70,50.96,6.18,135.29,1971.16,diesel,17243,17243,1480,22424
Honda,Concerto,16.67,4.5,74.0,1541.5,petrol,14509,14509,974,22370
Audi,A3,36.22,6.47,94.33,1424.67,petrol,12725,12725,1465,22221
Audi,A6,82.06,7.73,199.73,2790.45,diesel,17582,17582,1177,21730
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,16007,16007,772,21581
Kia,Pride,9.36,4.33,47.0,1324.0,petrol,9350,9350,813,21266
Subaru,Impreza,30.6,1.8,97.6,1757.6,petrol,15596,15596,1215,21263
Mitsubishi,Galant,25.08,4.53,93.6,2127.33,petrol,16748,16748,758,21231
Fiat,Seicento,8.17,5.0,40.0,1108.0,petrol,7265,7265,803,20863
Toyota,Previa,43.08,4.67,105.0,2239.67,petrol,13260,13260,1137,19719
Renault,11,11.63,4.43,47.14,1477.0,petrol,12143,12143,635,19443
Volkswagen,Scirocco,33.71,6.15,120.15,1750.62,petrol,13804,13804,647,18996
Toyota,Camry,30.01,3.2,115.47,2245.6,petrol,14916,14916,798,18847
Renault,25,22.35,4.22,80.93,1977.26,petrol,15189,15189,514,18749
Subaru,Legacy,37.52,3.9,107.38,2084.38,petrol,12919,12919,1332,18733
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,11862,11862,1007,18703
Lada,Samara,10.92,5.0,49.8,1372.4,petrol,12077,12077,455,17071
Fiat,Marea,20.12,4.88,79.88,1836.88,petrol,12494,12494,497,16976
Seat,Toledo,20.37,5.64,74.21,1324.36,petrol,12719,12719,499,16445
Nissan,Terrano,37.02,4.74,97.58,2697.37,diesel,11643,11643,505,16227
Ford,Capri,11.71,4.0,69.0,1864.8,petrol,13407,13407,274,16209
Fiat,Tempra,17.92,4.19,64.48,1759.19,petrol,11240,11240,492,15437
Daewoo,Espero,16.8,4.5,71.0,1764.0,petrol,11958,11958,412,15284
Saab,9-3X,49.29,6.0,145.0,1963.67,petrol,10216,10216,1101,14880
BMW,Z3,39.74,4.6,115.0,2234.4,petrol,8209,8209,933,14751
Volkswagen,Sharan,45.7,6.0,114.0,1854.2,diesel,9782,9782,1008,14674
Nissan,Serena,22.95,5.0,67.33,1908.17,petrol,9727,9727,576,14517
Citroen,XM,36.36,4.55,110.5,2345.1,petrol,11770,11770,526,14090
Ford,Probe,24.84,5.0,102.0,2244.0,petrol,10408,10408,415,14021
Hyundai,Pony,10.32,4.14,54.36,1463.86,petrol,7989,7989,447,13824
Ford,Maverick,29.15,5.0,89.0,2526.5,petrol,9554,9554,449,13515
Rover,75,39.35,5.0,98.05,1928.71,petrol,11201,11201,435,13199
Nissan,Prairie,21.41,4.5,72.0,1974.0,petrol,8950,8950,504,13188
Rover,45,23.32,3.75,84.2,1853.9,petrol,10135,10135,336,12996
Suzuki,Baleno,17.59,4.08,73.08,1363.5,petrol,8187,8187,408,12887
Porsche,911,158.79,7.47,293.53,3005.4,petrol,10916,10916,441,12482
Seat,Cordoba,17.31,4.97,66.35,1655.74,petrol,8252,8252,393,12163
Skoda,Octavia,30.65,6.35,95.0,1136.69,petrol,9524,9524,468,11929
Mercedes,CLK,72.8,6.21,166.32,3041.0,petrol,8438,8438,505,11687
Chrysler,Neon,19.72,4.0,98.0,1995.0,petrol,7942,7942,405,11350
Audi,Coupe,35.87,5.59,117.02,1980.63,petrol,9027,9027,342,11038
Subaru,Justy,11.74,5.0,51.0,998.0,petrol,4724,4724,734,10861
Mercedes,SLK,61.86,6.83,184.17,2748.33,petrol,5780,5780,694,10556
Suzuki,Wagon,9.86,5.0,50.0,1090.4,petrol,5484,5484,393,10109
Volkswagen,Vento,18.17,4.69,70.31,1932.15,petrol,7335,7335,427,10004
Alfa-Romeo,156,32.9,5.33,116.29,2081.38,petrol,7902,7902,412,9812
Mazda,121,13.19,5.0,51.33,1431.33,petrol,3731,3731,429,9756
Jaguar,S-Type,66.59,5.74,172.32,2934.63,petrol,8180,8180,411,9655
Mazda,MX-3,22.13,5.0,83.0,1721.5,petrol,4796,4796,494,9607
Peugeot,505,20.66,4.96,67.0,2234.26,petrol,6986,6986,476,9554
Skoda,Fabia,19.01,5.21,66.97,1292.35,petrol,5663,5663,408,9344
Volkswagen,Lupo,13.88,4.75,47.75,1373.75,petrol,3165,3165,452,9341
Suzuki,SJ,8.47,4.6,41.4,1182.4,petrol,5870,5870,330,9316
Mitsubishi,Lancer,23.02,4.73,90.88,1709.54,petrol,6055,6055,341,9173
Saab,09-May,52.96,5.65,146.12,2031.47,petrol,7579,7579,616,9153
Renault,Safrane,31.79,4.57,104.14,2211.07,petrol,7474,7474,360,9058
Toyota,Supra,81.3,8.0,250.0,2998.0,petrol,7194,7194,234,8589
Triumph,Acclaim,6.05,4.33,52.0,1335.0,petrol,5510,5510,195,8563
Volkswagen,Bora,25.4,4.65,78.85,1891.59,petrol,6413,6413,368,8552
Peugeot,305,12.61,4.5,56.25,1607.25,petrol,6265,6265,264,8330
Honda,Integra,17.53,4.6,78.4,1549.8,petrol,5449,5449,319,8046
Porsche,944,59.49,5.0,137.5,2734.5,petrol,6443,6443,301,8022
Audi,90,28.38,4.6,91.6,2181.2,petrol,6275,6275,249,7897
Ford,Cougar,32.12,4.67,115.33,2362.0,petrol,6088,6088,235,7884
Suzuki,Alto,9.56,4.6,50.0,996.0,petrol,2963,2963,292,7857
Jaguar,XK,145.65,6.0,283.0,5000.0,petrol,6527,6527,357,7847
Seat,Arosa,13.7,4.82,47.45,1384.0,petrol,3156,3156,316,7840
Mercedes,ML,77.42,7.0,188.33,2876.0,diesel,5483,5483,379,7831
Mercedes,Sprinter,43.07,6.25,104.2,2222.71,diesel,6698,6698,467,7824
Volvo,960,40.76,4.33,133.33,2634.22,petrol,6218,6218,406,7770
Volkswagen,Corrado,35.34,5.0,118.0,1781.0,petrol,6005,6005,336,7613
Mazda,Xedos,28.96,4.4,100.8,1936.6,petrol,5817,5817,294,7428
Seat,Alhambra,49.82,6.0,115.83,1746.94,petrol,4996,4996,473,7162
Seat,Marbella,6.49,5.0,30.0,903.0,petrol,2935,2935,253,7041
Daewoo,Leganza,23.24,4.5,98.0,1998.0,petrol,5679,5679,225,7013
Renault,9,11.5,4.75,50.25,1507.5,petrol,4418,4418,220,6913
Porsche,Boxster,83.5,6.5,213.5,3071.0,petrol,5362,5362,335,6879
Honda,HR-V,32.72,3.6,96.0,1498.0,petrol,3668,3668,265,6633
Hyundai,Sonata,31.74,4.83,119.67,2116.0,petrol,5330,5330,194,6620
Kia,Mentor,14.76,4.67,75.0,1594.0,petrol,4206,4206,192,6328
Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,3963,3963,232,6295
Toyota,Picnic,25.3,4.5,94.0,1998.0,petrol,3996,3996,361,6194
Peugeot,605,35.26,4.73,104.64,2367.18,petrol,4893,4893,206,5889
BMW,M3,135.11,6.5,309.0,3999.0,petrol,4961,4961,182,5747
Suzuki,Jimny,25.94,4.78,67.0,1372.67,petrol,2520,2520,246,5732
Audi,TT,64.59,6.78,178.56,2011.56,petrol,4133,4133,298,5567
Nissan,Patrol,38.48,4.88,90.94,2953.59,diesel,4392,4392,162,5415
Mercedes,SLS,264.68,7.0,420.0,6208.0,petrol,3802,3802,234,5284
Mazda,Demio,14.78,4.8,51.4,1428.4,petrol,2713,2713,179,5276
Peugeot,806,29.57,5.0,84.0,1997.14,diesel,3574,3574,269,5156
Chrysler,Voyager,39.71,4.84,117.58,2719.84,diesel,3576,3576,233,5132
Alfa-Romeo,164,38.4,4.75,131.0,2652.38,petrol,4295,4295,221,5129
Alfa-Romeo,146,18.2,5.0,87.71,1696.43,petrol,3572,3572,239,5083
Nissan,Maxima,34.1,4.57,121.86,2555.29,petrol,4211,4211,221,5074
Lotus,Elise,53.79,6.0,134.33,1730.0,petrol,4398,4398,211,5073
Honda,Legend,69.4,5.0,173.0,3358.67,petrol,4039,4039,227,4879
Fiat,Ulysse,36.7,4.88,91.75,2019.75,petrol,3290,3290,193,4837
Audi,Cabriolet,43.97,4.5,98.0,2309.0,petrol,2753,2753,252,4735
Volvo,S70,36.91,4.5,126.15,2344.0,petrol,3710,3710,232,4428
Alfa-Romeo,33,13.82,5.0,66.0,1351.0,petrol,3243,3243,161,4242
Mazda,MX-6,30.93,4.67,110.33,2328.33,petrol,2902,2902,192,4067
Alfa-Romeo,145,17.43,5.0,87.71,1696.43,petrol,2592,2592,189,3869
Opel,Manta,11.98,4.0,69.0,1762.75,petrol,3102,3102,76,3834
Alfa-Romeo,155,23.91,5.0,100.67,2016.78,petrol,3195,3195,114,3798
Daihatsu,Terios,26.2,4.62,77.0,1495.0,petrol,1930,1930,167,3797
Honda,Shuttle,30.08,4.0,110.0,2254.0,petrol,2431,2431,232,3707
Datsun,Sunny,11.82,4.62,56.86,1520.95,petrol,2447,2447,100,3675
Alfa-Romeo,Spider,55.2,6.0,163.5,2696.5,petrol,2488,2488,192,3649
Renault,Kangoo,18.77,4.86,67.02,1391.02,diesel,2162,2162,103,3602
Volvo,S80,50.94,6.27,138.28,1986.77,diesel,3019,3019,224,3536
Kia,Shuma,15.16,4.67,75.0,1594.0,petrol,2329,2329,116,3266
Suzuki,Samurai,12.25,5.0,43.0,1325.0,petrol,1826,1826,121,3256
Citroen,Berlingo,27.44,6.34,85.28,1452.0,diesel,2112,2112,83,3182
Ssangyong,Musso,38.79,4.43,98.57,2755.57,diesel,2359,2359,108,3068
Hyundai,Stellar,11.26,4.5,55.0,1597.0,petrol,2373,2373,86,2992
Daihatsu,Sirion,14.33,4.56,59.88,1183.25,petrol,1388,1388,123,2950
Fiat,126,3.78,4.0,18.0,652.0,petrol,1255,1255,110,2894
Nissan,Silvia,21.02,4.67,66.0,1206.0,petrol,2148,2148,80,2867
Skoda,120,3.33,4.6,15.6,469.6,petrol,1943,1943,66,2744
Toyota,Tercel,10.0,4.33,49.33,1347.67,petrol,1709,1709,108,2602
Fiat,Croma,34.33,5.59,105.0,1962.06,diesel,1965,1965,70,2475
BMW,640i,114.88,8.0,235.0,2979.0,petrol,2062,2062,77,2412
Seat,Leon,32.94,6.35,114.82,1615.37,petrol,1622,1622,113,2402
Renault,18,12.85,4.64,57.36,1849.55,petrol,1863,1863,60,2395
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,1512,1512,103,2385
Toyota,Paseo,15.76,5.0,66.0,1497.0,petrol,1026,1026,103,2275
Mercedes,Viano,57.23,5.23,120.43,2309.34,diesel,1565,1565,140,2206
Fiat,Multipla,25.21,5.0,80.5,1753.0,petrol,1394,1394,93,2186
Datsun,Cherry,8.4,4.33,44.56,1350.0,petrol,1200,1200,55,2068
Opel,Kadett,13.31,4.09,53.34,1518.68,petrol,1320,1320,79,2056
Lancia,Delta,29.04,5.85,105.07,1638.89,petrol,1693,1693,54,2043
Lada,Niva,12.24,5.0,57.0,1568.0,petrol,1605,1605,46,2029
Mazda,Premacy,23.22,4.91,82.0,1938.0,petrol,1345,1345,75,2001
Volvo,C70,52.2,5.31,126.5,2323.94,petrol,1512,1512,126,1977
Saab,99,11.34,4.0,74.0,1985.0,petrol,1523,1523,85,1974
Porsche,928,110.1,5.0,235.0,4957.0,petrol,1698,1698,87,1966
BMW,M550i,134.79,8.0,390.0,4395.0,petrol,1776,1776,73,1960
Audi,A8,116.54,8.0,230.0,2981.0,petrol,1719,1719,95,1950
Triumph,TR7,13.14,5.0,93.5,1998.0,petrol,1516,1516,67,1870
Daihatsu,Applause,15.7,4.5,73.0,1590.0,petrol,1216,1216,83,1866
Rover,2000,17.18,5.0,74.0,1994.0,petrol,1628,1628,42,1834
Honda,Logo,13.38,2.5,48.0,1343.0,petrol,723,723,77,1828
Chrysler,PT,29.88,4.74,109.11,2238.63,petrol,1191,1191,73,1826
Daihatsu,Move,12.92,4.0,43.0,989.0,petrol,838,838,91,1796
Land-Rover,Defender,108.75,7.85,207.61,2304.98,diesel,1368,1368,82,1721
Daimler,3.6,71.6,4.0,149.0,3590.0,petrol,1457,1457,50,1675
Honda,CRX,28.74,4.67,100.67,1590.0,petrol,966,966,80,1647
BMW,850i,111.99,5.0,220.0,4988.0,petrol,1417,1417,56,1626
Morris,Marina,5.76,4.0,43.0,1275.0,petrol,1216,1216,21,1585
Fiat,Regata,12.74,4.64,54.0,1559.18,petrol,1164,1164,44,1574
Porsche,Carrera,646.6,6.0,450.0,5733.0,petrol,1330,1330,51,1547
Lancia,Dedra,21.77,5.0,81.69,1808.38,petrol,1201,1201,47,1504
Lotus,Esprit,93.42,5.0,233.0,2995.0,petrol,1366,1366,39,1481
Audi,Quattro,61.24,5.0,147.0,2144.0,petrol,1282,1282,44,1466
Nissan,Laurel,18.65,4.6,74.8,2652.8,diesel,1186,1186,38,1447
Audi,Cabriolet,43.97,4.5,98.0,2309.0,petrol,1091,1091,44,1349
Daimler,4,92.8,4.0,166.0,3980.0,petrol,1073,1073,55,1262
Skoda,130,6.9,5.0,46.0,1289.0,petrol,908,908,30,1243
Fiat,Barchetta,28.3,5.0,96.0,1747.0,petrol,849,849,60,1226
Lancia,Thema,50.14,5.82,155.55,2799.27,petrol,1043,1043,47,1224
Aston-Martin,DB7,158.82,4.5,250.0,3228.0,petrol,1043,1043,47,1203
Suzuki,X-90,16.64,4.5,71.0,1590.0,petrol,394,394,45,1142
Datsun,Stanza,9.58,4.5,61.67,1668.33,petrol,758,758,35,1089
Morris,Ital,8.12,4.0,51.5,1487.5,petrol,837,837,19,1051
Honda,S2000,55.25,6.0,177.0,1997.0,petrol,804,804,46,1048
Audi,S3,60.87,6.75,228.0,1984.0,petrol,813,813,51,1030
Ford,Fiesta,18.53,5.71,68.57,1166.14,petrol,689216,689216,47370,1499732
Ford,Escort,16.21,4.46,63.56,1650.21,petrol,905246,905246,38200,1408768
Rover,2000,17.18,5.0,74.0,1994.0,petrol,440443,440443,19517,652975
Ford,Sierra,18.3,4.88,70.25,1836.5,petrol,445835,445835,11606,562024
Volkswagen,Golf,31.24,6.16,89.46,1537.41,petrol,302681,302681,26380,525428
Nissan,Micra,20.38,4.87,67.96,1279.7,petrol,199629,199629,19793,519526
Ford,Mondeo,39.97,1.75,130.25,1998.5,petrol,380910,380910,12731,479654
Volkswagen,Polo,18.19,5.07,60.96,1408.06,petrol,177152,177152,19927,416140
Renault,Clio,22.1,5.62,75.58,1219.65,petrol,134415,134415,13638,360707
BMW,320i,47.85,6.44,126.11,1995.78,petrol,233017,233017,13931,333981
Peugeot,205,13.12,4.75,50.88,1430.75,petrol,142294,142294,12533,297318
Peugeot,306,18.64,4.84,67.0,1698.64,petrol,169731,169731,11113,285422
Peugeot,106,12.36,4.65,53.88,1366.29,petrol,98398,98398,9831,269156
Ford,Orion,15.4,5.0,60.11,1593.11,petrol,192361,192361,5874,268281
Peugeot,405,20.43,4.79,69.88,1773.0,petrol,191716,191716,7227,245599
Honda,Civic,29.94,4.5,106.22,1480.58,petrol,131253,131253,10640,236277
Toyota,Corolla,27.24,3.03,91.61,1677.95,petrol,115088,115088,7963,192741
Ford,Granada,18.85,4.08,87.08,2326.36,petrol,155290,155290,3565,183141
Renault,Megane,26.45,5.41,87.31,1623.79,petrol,105805,105805,7389,177790
Citroen,AX,10.83,5.0,45.0,1242.0,petrol,69266,69266,6416,170946
Nissan,Primera,26.51,4.02,93.59,1933.02,petrol,115704,115704,4921,149552
Toyota,Carina,17.45,4.69,68.27,1791.23,petrol,113811,113811,5934,149524
Peugeot,309,14.35,4.88,59.5,1642.88,petrol,93637,93637,4661,147080
Fiat,Uno,11.28,4.29,49.29,1337.71,petrol,63379,63379,5110,135273
Citroen,ZX,16.06,4.92,67.0,1703.15,petrol,81329,81329,5310,128171
Renault,Laguna,34.02,5.55,99.0,1920.03,diesel,96813,96813,3744,124266
BMW,535i,93.71,8.0,225.0,2979.0,petrol,100809,100809,4780,123949
Renault,19,16.29,4.8,57.87,1645.13,petrol,79232,79232,3862,119106
Nissan,Bluebird,14.44,4.9,64.2,1891.7,petrol,90413,90413,3323,117393
Mazda,323,17.34,4.75,70.92,1683.61,petrol,64018,64018,4710,114794
Honda,Accord,39.4,5.78,117.71,2151.65,petrol,83977,83977,5092,110710
Volkswagen,Passat,46.06,6.49,125.44,1835.85,petrol,82963,82963,5225,108945
Citroen,Saxo,12.33,4.82,53.82,1367.27,petrol,49654,49654,2826,107537
Volvo,440,20.28,4.11,72.85,1832.89,petrol,71066,71066,4684,105013
Land-Rover,Discovery,107.45,8.0,182.57,2425.43,diesel,76860,76860,3924,100688
Citroen,Xantia,24.84,4.76,84.93,1982.76,petrol,79107,79107,3529,99967
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,31187,31187,4422,94058
Audi,80,27.1,4.67,91.75,2247.33,petrol,62553,62553,2930,81271
Peugeot,406,28.61,4.76,92.82,2043.82,petrol,61936,61936,2671,76236
Mazda,626,20.72,4.72,81.38,1950.91,petrol,56998,56998,2423,73771
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,51425,51425,3729,68426
Renault,21,20.35,4.79,67.68,1996.68,petrol,51086,51086,2228,68192
Saab,900,37.01,4.59,114.68,2208.09,petrol,45407,45407,4017,63332
Nissan,Almera,22.78,4.92,81.67,1847.67,petrol,39666,39666,2068,63172
Fiat,Panda,10.42,5.0,52.44,1095.78,petrol,26216,26216,2369,61125
Seat,Ibiza,19.94,5.65,76.32,1205.19,petrol,31927,31927,2149,61027
Skoda,Felicia,11.37,5.0,48.0,1518.0,petrol,38920,38920,2017,59323
Ford,Focus,30.62,5.97,94.03,1497.17,petrol,38471,38471,2278,57949
Fiat,Tipo,23.58,5.81,80.81,1446.12,diesel,34035,34035,2160,57626
Mercedes,190,36.64,4.47,88.73,2284.13,petrol,42515,42515,2620,56928
Jaguar,XJ,137.57,8.0,223.55,2813.0,petrol,47709,47709,1980,55485
Peugeot,206,20.03,4.83,71.33,1631.5,petrol,23725,23725,1175,54548
Mercedes,E,78.07,7.67,192.4,2598.82,petrol,40190,40190,2747,50515
Saab,9000,41.62,4.6,125.36,2336.52,petrol,39734,39734,2566,49898
Hyundai,Accent,14.29,4.6,75.4,1479.0,petrol,28542,28542,1489,49452
Suzuki,Vitara,26.8,5.43,85.71,1310.0,petrol,24920,24920,1864,48775
Audi,A4,57.93,6.16,149.71,2283.11,petrol,35788,35788,2425,46688
Fiat,Cinquecento,7.71,5.0,29.0,899.0,petrol,16008,16008,1974,46428
Skoda,Favorit,7.86,5.0,44.0,1289.0,petrol,28317,28317,1201,43470
Fiat,Brava,17.22,4.89,70.0,1615.33,petrol,26936,26936,1396,42957
Volvo,940,30.24,4.5,110.0,2316.0,petrol,31935,31935,2162,41755
Rover,Mini,7.92,4.0,33.33,868.33,petrol,15920,15920,1516,40283
Renault,Espace,59.0,7.0,166.0,1798.0,petrol,25659,25659,1899,36104
Volvo,850,36.38,4.5,125.71,2294.76,petrol,27993,27993,2100,36066
Toyota,Celica,31.53,5.17,109.67,1861.83,petrol,24332,24332,1350,34692
Mazda,MX-5,37.47,5.86,103.43,1718.57,petrol,16655,16655,2267,34500
Toyota,Starlet,11.39,4.14,53.0,1308.29,petrol,13559,13559,1402,34410
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,26214,26214,1231,32740
Volkswagen,Jetta,31.31,6.26,96.93,1587.22,petrol,22843,22843,1108,32096
Audi,100,37.33,4.76,101.12,2349.08,petrol,25369,25369,1153,31621
Ford,Galaxy,53.79,6.0,124.86,1855.0,diesel,20860,20860,1812,31355
Mercedes,300,62.4,4.38,135.5,2972.31,petrol,23886,23886,1442,30995
Daewoo,Nexia,12.48,4.67,58.67,1498.0,petrol,18560,18560,1030,29934
Suzuki,Swift,19.09,3.73,68.91,1180.55,petrol,14031,14031,1035,29733
Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,19611,19611,1132,29705
Toyota,RAV4,43.55,1.35,137.77,2261.19,petrol,14048,14048,1625,29299
Hyundai,Lantra,16.45,4.67,78.0,1741.0,petrol,20917,20917,729,28918
Honda,Prelude,27.79,4.67,110.67,2050.33,petrol,18837,18837,1204,28531
Mitsubishi,Colt,17.04,5.3,73.49,1374.05,petrol,13049,13049,1102,27527
Renault,11,11.63,4.43,47.14,1477.0,petrol,17061,17061,875,27234
Citroen,Xsara,22.36,4.88,72.58,1743.44,petrol,17665,17665,927,27228
Volvo,460,20.5,4.14,72.43,1824.43,petrol,19129,19129,1109,26563
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,21917,21917,602,26185
BMW,740i,115.53,8.0,250.0,2998.0,petrol,21376,21376,956,24989
Renault,25,22.35,4.22,80.93,1977.26,petrol,19845,19845,628,24530
Fiat,Bravo,22.46,6.0,92.31,1466.31,petrol,14316,14316,829,24033
Daewoo,Lanos,13.25,4.83,66.67,1506.5,petrol,13923,13923,860,23424
Land-Rover,Freelander,43.86,5.29,105.17,2083.52,diesel,14699,14699,1177,23275
Volkswagen,Scirocco,33.71,6.15,120.15,1750.62,petrol,16679,16679,724,23022
Honda,Concerto,16.67,4.5,74.0,1541.5,petrol,14908,14908,983,22770
Toyota,Avensis,37.32,4.32,103.68,1873.26,petrol,18184,18184,833,22742
Ford,Scorpio,30.86,4.45,105.55,2458.91,petrol,19195,19195,624,22399
Ford,Capri,11.71,4.0,69.0,1864.8,petrol,18111,18111,367,21831
Lada,Samara,10.92,5.0,49.8,1372.4,petrol,15403,15403,489,21559
Mitsubishi,Galant,25.08,4.53,93.6,2127.33,petrol,16881,16881,694,21346
Volvo,S40,35.28,5.18,113.35,2106.5,petrol,15750,15750,1084,21150
Toyota,Camry,30.01,3.2,115.47,2245.6,petrol,16132,16132,790,20251
Volvo,V40,35.81,6.29,117.43,1921.47,petrol,13136,13136,1106,19342
Kia,Pride,9.36,4.33,47.0,1324.0,petrol,8458,8458,694,19177
Ford,Puma,30.38,6.31,94.06,935.62,petrol,9395,9395,987,18737
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,11546,11546,1003,18287
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,13698,13698,672,18184
Toyota,Previa,43.08,4.67,105.0,2239.67,petrol,12065,12065,1004,17799
Hyundai,Pony,10.32,4.14,54.36,1463.86,petrol,10115,10115,501,17412
Subaru,Legacy,37.52,3.9,107.38,2084.38,petrol,11620,11620,1244,16913
Volkswagen,Beetle,33.25,6.17,112.75,1475.0,petrol,9948,9948,637,16887
Subaru,Impreza,30.6,1.8,97.6,1757.6,petrol,11939,11939,1047,16627
Fiat,Tempra,17.92,4.19,64.48,1759.19,petrol,12172,12172,476,16450
Toyota,Yaris,20.72,3.52,74.4,1397.8,petrol,7011,7011,807,15730
Audi,A3,36.22,6.47,94.33,1424.67,petrol,9067,9067,1047,15638
Citroen,XM,36.36,4.55,110.5,2345.1,petrol,12898,12898,572,15419
Audi,A6,82.06,7.73,199.73,2790.45,diesel,12464,12464,834,15413
Daewoo,Espero,16.8,4.5,71.0,1764.0,petrol,11997,11997,386,15054
Nissan,Prairie,21.41,4.5,72.0,1974.0,petrol,10009,10009,530,14768
Seat,Toledo,20.37,5.64,74.21,1324.36,petrol,11371,11371,419,14664
Volvo,V70,50.96,6.18,135.29,1971.16,diesel,10806,10806,832,13924
Nissan,Terrano,37.02,4.74,97.58,2697.37,diesel,9975,9975,417,13753
Ford,Probe,24.84,5.0,102.0,2244.0,petrol,10098,10098,395,13623
Nissan,Serena,22.95,5.0,67.33,1908.17,petrol,9012,9012,546,13449
Ford,Maverick,29.15,5.0,89.0,2526.5,petrol,9363,9363,426,13169
Triumph,Acclaim,6.05,4.33,52.0,1335.0,petrol,8338,8338,314,12875
Fiat,Marea,20.12,4.88,79.88,1836.88,petrol,9422,9422,347,12828
Fiat,Seicento,8.17,5.0,40.0,1108.0,petrol,4517,4517,389,12349
Audi,Coupe,35.87,5.59,117.02,1980.63,petrol,9984,9984,391,12248
Peugeot,505,20.66,4.96,67.0,2234.26,petrol,8911,8911,603,12153
Mercedes,A,31.1,4.55,93.01,1699.12,petrol,6390,6390,588,12053
BMW,Z3,39.74,4.6,115.0,2234.4,petrol,6804,6804,713,11909
Peugeot,305,12.61,4.5,56.25,1607.25,petrol,8707,8707,377,11578
Subaru,Justy,11.74,5.0,51.0,998.0,petrol,4888,4888,754,11332
Porsche,911,158.79,7.47,293.53,3005.4,petrol,9901,9901,398,11328
Volkswagen,Sharan,45.7,6.0,114.0,1854.2,diesel,7494,7494,807,11284
Suzuki,Baleno,17.59,4.08,73.08,1363.5,petrol,7173,7173,337,11164
Suzuki,SJ,8.47,4.6,41.4,1182.4,petrol,6523,6523,363,10620
Seat,Cordoba,17.31,4.97,66.35,1655.74,petrol,7174,7174,311,10452
Renault,9,11.5,4.75,50.25,1507.5,petrol,6388,6388,319,10014
Mazda,121,13.19,5.0,51.33,1431.33,petrol,3771,3771,441,9860
Volkswagen,Vento,18.17,4.69,70.31,1932.15,petrol,7298,7298,444,9847
Mitsubishi,Lancer,23.02,4.73,90.88,1709.54,petrol,6098,6098,329,9308
Mazda,MX-3,22.13,5.0,83.0,1721.5,petrol,4616,4616,480,9268
Toyota,Supra,81.3,8.0,250.0,2998.0,petrol,7526,7526,208,9028
Honda,Integra,17.53,4.6,78.4,1549.8,petrol,6095,6095,346,9012
Audi,90,28.38,4.6,91.6,2181.2,petrol,7114,7114,263,8882
Saab,9-3X,49.29,6.0,145.0,1963.67,petrol,6055,6055,649,8747
Renault,Safrane,31.79,4.57,104.14,2211.07,petrol,7092,7092,304,8507
Porsche,944,59.49,5.0,137.5,2734.5,petrol,6721,6721,298,8379
Chrysler,Neon,19.72,4.0,98.0,1995.0,petrol,5597,5597,285,7952
Volkswagen,Corrado,35.34,5.0,118.0,1781.0,petrol,6149,6149,357,7845
Seat,Marbella,6.49,5.0,30.0,903.0,petrol,3054,3054,262,7676
Volvo,960,40.76,4.33,133.33,2634.22,petrol,6029,6029,396,7522
Mercedes,CLK,72.8,6.21,166.32,3041.0,petrol,5420,5420,315,7387
Mercedes,SLK,61.86,6.83,184.17,2748.33,petrol,4167,4167,461,7208
Mazda,Xedos,28.96,4.4,100.8,1936.6,petrol,5485,5485,270,6967
Suzuki,Alto,9.56,4.6,50.0,996.0,petrol,2560,2560,224,6761
Peugeot,605,35.26,4.73,104.64,2367.18,petrol,5293,5293,229,6356
Jaguar,XK,145.65,6.0,283.0,5000.0,petrol,5279,5279,292,6334
